crop,window_id,window_label,simulation_run,sim_cycle_rain_mm,sim_mean_tmax_c,rain_sufficient,estab_dry_spell,temp_stress
maize,27,21-30 Sep,36,351.7,22.95,1,0,0
maize,27,21-30 Sep,37,379.0,23.06,1,0,0
maize,27,21-30 Sep,38,335.9,23.6,1,0,0
maize,27,21-30 Sep,39,343.8,23.76,1,0,0
maize,27,21-30 Sep,40,322.7,22.81,0,0,0
maize,27,21-30 Sep,41,353.9,22.54,1,0,0
maize,27,21-30 Sep,42,363.7,23.46,1,1,0
maize,27,21-30 Sep,43,346.3,22.84,1,0,0
maize,27,21-30 Sep,44,347.3,22.73,1,0,0
maize,27,21-30 Sep,45,345.3,23.54,1,0,0
maize,27,21-30 Sep,46,376.8,22.64,1,0,0
maize,27,21-30 Sep,47,383.7,23.39,1,0,0
maize,27,21-30 Sep,48,386.3,22.91,1,0,0
maize,27,21-30 Sep,49,361.5,22.96,1,1,0
maize,27,21-30 Sep,50,384.8,23.59,1,0,0
maize,27,21-30 Sep,51,381.7,22.97,1,0,0
maize,27,21-30 Sep,52,313.3,23.08,0,0,0
maize,27,21-30 Sep,53,358.2,23.49,1,0,0
maize,27,21-30 Sep,54,334.9,23.22,1,0,0
maize,27,21-30 Sep,55,365.3,23.45,1,0,0
maize,27,21-30 Sep,56,318.3,23.09,0,0,0
maize,27,21-30 Sep,57,395.5,22.88,1,0,0
maize,27,21-30 Sep,58,325.8,22.99,0,0,0
maize,27,21-30 Sep,59,311.5,23.35,0,1,0
maize,27,21-30 Sep,60,357.7,23.25,1,0,0
maize,27,21-30 Sep,61,404.2,22.86,1,0,0
maize,27,21-30 Sep,62,354.5,23.26,1,0,0
maize,27,21-30 Sep,63,353.6,22.67,1,0,0
maize,27,21-30 Sep,64,398.7,23.01,1,0,0
maize,27,21-30 Sep,65,322.5,23.31,0,0,0
maize,27,21-30 Sep,66,402.5,23.32,1,0,0
maize,27,21-30 Sep,67,309.8,23.74,0,0,0
maize,27,21-30 Sep,68,391.5,23.15,1,0,0
maize,27,21-30 Sep,69,395.0,23.49,1,0,0
maize,27,21-30 Sep,70,365.1,23.77,1,0,0
maize,27,21-30 Sep,71,343.0,23.85,1,0,0
maize,27,21-30 Sep,72,350.8,22.98,1,0,0
maize,27,21-30 Sep,73,372.1,23.52,1,0,0
maize,27,21-30 Sep,74,409.1,23.46,1,0,0
maize,27,21-30 Sep,75,388.6,23.17,1,0,0
maize,27,21-30 Sep,76,394.2,23.3,1,0,0
maize,27,21-30 Sep,77,357.8,23.56,1,0,0
maize,27,21-30 Sep,78,375.3,23.34,1,0,0
maize,27,21-30 Sep,79,280.0,23.25,0,1,0
maize,27,21-30 Sep,80,333.4,22.65,1,0,0
maize,27,21-30 Sep,81,378.6,23.84,1,0,0
maize,27,21-30 Sep,82,366.7,23.06,1,0,0
maize,27,21-30 Sep,83,346.9,23.64,1,0,0
maize,27,21-30 Sep,84,376.1,22.98,1,0,0
maize,27,21-30 Sep,85,366.1,22.48,1,0,0
maize,27,21-30 Sep,86,436.3,22.86,1,0,0
maize,27,21-30 Sep,87,387.6,23.15,1,0,0
maize,27,21-30 Sep,88,450.8,23.73,1,0,0
maize,27,21-30 Sep,89,361.6,23.6,1,0,0
maize,27,21-30 Sep,90,344.4,23.11,1,0,0
maize,27,21-30 Sep,91,392.1,22.99,1,0,0
maize,27,21-30 Sep,92,396.5,23.19,1,0,0
maize,27,21-30 Sep,93,365.1,23.2,1,0,0
maize,27,21-30 Sep,94,368.4,22.7,1,0,0
maize,27,21-30 Sep,95,419.2,22.74,1,0,0
maize,27,21-30 Sep,96,331.5,23.16,1,0,0
maize,27,21-30 Sep,97,368.7,23.04,1,0,0
maize,27,21-30 Sep,98,297.2,23.15,0,0,0
maize,27,21-30 Sep,99,374.0,22.92,1,0,0
maize,28,1-10 Oct,0,322.8,23.19,0,0,0
maize,28,1-10 Oct,1,380.6,23.39,1,0,0
maize,28,1-10 Oct,2,341.8,23.22,1,0,0
maize,28,1-10 Oct,3,369.0,23.25,1,0,0
maize,28,1-10 Oct,4,349.1,23.05,1,0,0
maize,28,1-10 Oct,5,368.3,23.24,1,0,0
maize,28,1-10 Oct,6,363.2,23.1,1,0,0
maize,28,1-10 Oct,7,393.9,23.36,1,0,0
maize,28,1-10 Oct,8,349.9,22.79,1,0,0
maize,28,1-10 Oct,9,434.8,23.23,1,0,0
maize,28,1-10 Oct,10,377.2,22.92,1,0,0
maize,28,1-10 Oct,11,382.9,23.29,1,0,0
maize,28,1-10 Oct,12,334.0,23.19,1,0,0
maize,28,1-10 Oct,13,382.3,22.83,1,0,0
maize,28,1-10 Oct,14,382.8,23.21,1,0,0
maize,28,1-10 Oct,15,424.4,23.6,1,0,0
maize,28,1-10 Oct,16,291.2,23.56,0,0,0
maize,28,1-10 Oct,17,311.1,23.06,0,0,0
maize,28,1-10 Oct,18,360.9,23.24,1,0,0
maize,28,1-10 Oct,19,358.5,22.83,1,0,0
maize,28,1-10 Oct,20,349.0,22.92,1,0,0
maize,28,1-10 Oct,21,397.5,23.79,1,0,0
maize,28,1-10 Oct,22,330.6,23.08,1,0,0
maize,28,1-10 Oct,23,336.0,23.44,1,0,0
maize,28,1-10 Oct,24,329.7,23.7,0,0,0
maize,28,1-10 Oct,25,315.3,23.27,0,0,0
maize,28,1-10 Oct,26,339.4,23.53,1,0,0
maize,28,1-10 Oct,27,325.4,23.4,0,0,0
maize,28,1-10 Oct,28,346.6,23.8,1,0,0
maize,28,1-10 Oct,29,358.9,23.78,1,0,0
maize,28,1-10 Oct,30,346.6,23.07,1,0,0
maize,28,1-10 Oct,31,363.3,23.35,1,0,0
maize,28,1-10 Oct,32,390.6,23.05,1,0,0
maize,28,1-10 Oct,33,356.0,23.56,1,0,0
maize,28,1-10 Oct,34,277.0,23.0,0,0,0
maize,28,1-10 Oct,35,315.5,22.95,0,0,0
maize,28,1-10 Oct,36,310.1,23.2,0,0,0
maize,28,1-10 Oct,37,356.1,23.2,1,0,0
maize,28,1-10 Oct,38,322.7,23.3,0,1,0
maize,28,1-10 Oct,39,390.0,23.27,1,0,0
maize,28,1-10 Oct,40,374.5,23.47,1,0,0
maize,28,1-10 Oct,41,375.0,23.58,1,0,0
maize,28,1-10 Oct,42,366.4,23.22,1,0,0
maize,28,1-10 Oct,43,395.9,23.26,1,0,0
maize,28,1-10 Oct,44,338.2,23.28,1,0,0
maize,28,1-10 Oct,45,329.4,23.17,0,0,0
maize,28,1-10 Oct,46,290.5,23.46,0,0,0
maize,28,1-10 Oct,47,348.0,23.2,1,0,0
maize,28,1-10 Oct,48,396.6,22.9,1,0,0
maize,28,1-10 Oct,49,349.2,23.24,1,0,0
maize,28,1-10 Oct,50,328.5,23.23,0,0,0
maize,28,1-10 Oct,51,425.3,23.15,1,0,0
maize,28,1-10 Oct,52,382.0,23.31,1,0,0
maize,28,1-10 Oct,53,370.9,23.26,1,0,0
maize,28,1-10 Oct,54,356.1,22.47,1,0,0
maize,28,1-10 Oct,55,334.5,23.45,1,0,0
maize,28,1-10 Oct,56,337.3,23.22,1,0,0
maize,28,1-10 Oct,57,349.2,23.01,1,0,0
maize,28,1-10 Oct,58,365.5,23.48,1,0,0
maize,28,1-10 Oct,59,386.2,23.4,1,0,0
maize,28,1-10 Oct,60,311.9,23.0,0,0,0
maize,28,1-10 Oct,61,294.2,22.81,0,0,0
maize,28,1-10 Oct,62,368.1,23.06,1,0,0
maize,28,1-10 Oct,63,365.0,23.05,1,0,0
maize,28,1-10 Oct,64,391.5,23.83,1,0,0
maize,28,1-10 Oct,65,341.1,22.82,1,0,0
maize,28,1-10 Oct,66,316.8,23.53,0,0,0
maize,28,1-10 Oct,67,359.4,23.63,1,0,0
maize,28,1-10 Oct,68,354.8,22.93,1,0,0
maize,28,1-10 Oct,69,350.7,23.21,1,0,0
maize,28,1-10 Oct,70,337.3,23.14,1,0,0
maize,28,1-10 Oct,71,288.4,23.17,0,0,0
maize,28,1-10 Oct,72,342.7,23.03,1,0,0
maize,28,1-10 Oct,73,316.4,22.83,0,0,0
maize,28,1-10 Oct,74,322.2,23.21,0,0,0
maize,28,1-10 Oct,75,310.3,23.96,0,0,0
maize,28,1-10 Oct,76,361.1,23.2,1,0,0
maize,28,1-10 Oct,77,373.0,23.29,1,0,0
maize,28,1-10 Oct,78,346.5,23.44,1,0,0
maize,28,1-10 Oct,79,352.4,22.97,1,0,0
maize,28,1-10 Oct,80,384.8,23.38,1,0,0
maize,28,1-10 Oct,81,347.9,22.96,1,0,0
maize,28,1-10 Oct,82,340.3,23.18,1,0,0
maize,28,1-10 Oct,83,360.2,23.12,1,0,0
maize,28,1-10 Oct,84,315.4,22.81,0,0,0
maize,28,1-10 Oct,85,375.6,23.39,1,0,0
maize,28,1-10 Oct,86,346.9,23.41,1,0,0
maize,28,1-10 Oct,87,381.9,23.29,1,0,0
maize,28,1-10 Oct,88,369.4,23.34,1,0,0
maize,28,1-10 Oct,89,350.1,23.29,1,0,0
maize,28,1-10 Oct,90,329.7,22.88,0,0,0
maize,28,1-10 Oct,91,332.4,23.82,1,0,0
maize,28,1-10 Oct,92,357.8,23.31,1,0,0
maize,28,1-10 Oct,93,385.2,23.33,1,0,0
maize,28,1-10 Oct,94,336.2,23.49,1,0,0
maize,28,1-10 Oct,95,342.1,23.44,1,0,0
maize,28,1-10 Oct,96,337.6,23.29,1,0,0
maize,28,1-10 Oct,97,323.6,23.35,0,0,0
maize,28,1-10 Oct,98,405.0,23.49,1,0,0
maize,28,1-10 Oct,99,331.2,23.15,1,0,0
maize,29,11-20 Oct,0,393.0,23.85,1,0,0
maize,29,11-20 Oct,1,321.5,23.21,0,0,0
maize,29,11-20 Oct,2,352.3,23.93,1,0,0
maize,29,11-20 Oct,3,318.5,22.95,0,0,0
maize,29,11-20 Oct,4,379.2,22.74,1,0,0
maize,29,11-20 Oct,5,335.3,23.6,1,0,0
maize,29,11-20 Oct,6,326.9,22.55,0,0,0
maize,29,11-20 Oct,7,395.4,23.12,1,0,0
maize,29,11-20 Oct,8,333.1,23.35,1,0,0
maize,29,11-20 Oct,9,301.7,23.34,0,0,0
maize,29,11-20 Oct,10,373.6,23.01,1,0,0
maize,29,11-20 Oct,11,322.8,22.82,0,0,0
maize,29,11-20 Oct,12,285.0,23.61,0,0,0
maize,29,11-20 Oct,13,301.2,22.78,0,0,0
maize,29,11-20 Oct,14,394.0,23.36,1,0,0
maize,29,11-20 Oct,15,304.9,24.29,0,0,0
maize,29,11-20 Oct,16,332.8,23.35,1,0,0
maize,29,11-20 Oct,17,359.8,23.65,1,0,0
maize,29,11-20 Oct,18,299.7,23.2,0,0,0
maize,29,11-20 Oct,19,323.6,22.63,0,0,0
maize,29,11-20 Oct,20,351.2,23.18,1,0,0
maize,29,11-20 Oct,21,360.0,23.3,1,0,0
maize,29,11-20 Oct,22,402.1,22.9,1,0,0
maize,29,11-20 Oct,23,325.6,23.62,0,0,0
maize,29,11-20 Oct,24,414.5,23.1,1,0,0
maize,29,11-20 Oct,25,390.5,23.33,1,0,0
maize,29,11-20 Oct,26,390.4,23.28,1,0,0
maize,29,11-20 Oct,27,289.2,22.8,0,0,0
maize,29,11-20 Oct,28,377.6,23.78,1,0,0
maize,29,11-20 Oct,29,323.4,22.96,0,0,0
maize,29,11-20 Oct,30,359.1,23.3,1,0,0
maize,29,11-20 Oct,31,279.6,23.27,0,0,0
maize,29,11-20 Oct,32,340.2,23.19,1,0,0
maize,29,11-20 Oct,33,348.9,23.05,1,0,0
maize,29,11-20 Oct,34,296.3,23.6,0,0,0
maize,29,11-20 Oct,35,318.1,22.67,0,0,0
maize,29,11-20 Oct,36,331.3,22.98,1,0,0
maize,29,11-20 Oct,37,335.5,23.19,1,0,0
maize,29,11-20 Oct,38,370.1,23.58,1,0,0
maize,29,11-20 Oct,39,325.1,23.28,0,0,0
maize,29,11-20 Oct,40,377.4,22.78,1,0,0
maize,29,11-20 Oct,41,354.7,23.27,1,0,0
maize,29,11-20 Oct,42,360.6,23.19,1,0,0
maize,29,11-20 Oct,43,277.6,23.31,0,0,0
maize,29,11-20 Oct,44,301.0,23.32,0,0,0
maize,29,11-20 Oct,45,371.3,23.16,1,0,0
maize,29,11-20 Oct,46,321.4,22.31,0,0,0
maize,29,11-20 Oct,47,316.6,23.56,0,0,0
maize,29,11-20 Oct,48,324.0,23.19,0,0,0
maize,29,11-20 Oct,49,295.3,23.28,0,0,0
maize,29,11-20 Oct,50,273.4,23.62,0,0,0
maize,29,11-20 Oct,51,291.9,23.16,0,0,0
maize,29,11-20 Oct,52,368.9,23.46,1,0,0
maize,29,11-20 Oct,53,284.1,23.66,0,0,0
maize,29,11-20 Oct,54,346.7,22.38,1,0,0
maize,29,11-20 Oct,55,320.6,23.0,0,0,0
maize,29,11-20 Oct,56,308.2,22.73,0,0,0
maize,29,11-20 Oct,57,319.1,23.34,0,0,0
