date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1982-04-11,1982,4,11,766,35.64706,22.46194,13.9331,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-04-21,1982,4,12,767,69.51131,21.30602,13.19857,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-05-01,1982,5,13,768,58.37104,21.63298,13.43189,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-05-11,1982,5,14,769,29.8371,20.23571,13.15487,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-05-21,1982,5,15,770,26.16742,21.04858,12.78352,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-06-01,1982,6,16,771,21.49774,21.7219,12.40489,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-06-11,1982,6,17,772,3.036199,22.82466,12.55126,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-06-21,1982,6,18,773,9.565611,22.18385,12.23283,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-07-01,1982,7,19,774,0.561086,22.9757,11.64314,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-07-11,1982,7,20,775,1.239819,22.68066,11.19498,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-07-21,1982,7,21,776,1.846154,23.03209,11.98263,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-08-01,1982,8,22,777,8.42534,22.20533,12.75157,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-08-11,1982,8,23,778,2.945701,23.3622,12.45385,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-08-21,1982,8,24,779,10.50679,24.33183,12.53131,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-09-01,1982,9,25,780,17.55204,25.18354,12.58879,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-09-11,1982,9,26,781,43.09955,23.51526,12.90157,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-09-21,1982,9,27,782,39.99548,21.90176,12.6594,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-10-01,1982,10,28,783,20.0543,22.33556,12.36561,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-10-11,1982,10,29,784,43.74208,21.67322,13.41613,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-10-21,1982,10,30,785,37.31222,22.75999,13.11847,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-11-01,1982,11,31,786,39.02262,22.45773,13.35331,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-11-11,1982,11,32,787,29.8371,22.08519,13.71747,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-11-21,1982,11,33,788,56.8371,22.51161,13.68935,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-12-01,1982,12,34,789,41.52941,21.93628,13.54966,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
